"country","city","latitude","longitude"
"Afghanistan","Camp Bastion",31.865556,64.195278
"Afghanistan","Chaghcharan",34.526667,65.271667
"Afghanistan","Faizabad",37.1211,70.5181
"Afghanistan","Herat",34.210017,62.2283
"Afghanistan","Jalalabad",34.399842,70.498625
"Afghanistan","Kabul",34.565226499999994,69.183864
"Afghanistan","Kandahar",31.505756,65.847822
"Afghanistan","Kunduz",36.665111,68.910833
"Afghanistan","Maimama",35.930789,64.760917
"Afghanistan","Mazar-i-sharif",36.706914,67.209678
"Afghanistan","Sheberghan",36.750783,65.913164
"Afghanistan","Shindand",33.391331,62.260975
"Afghanistan","Tarin Kowt",32.605278,65.864167
"Afghanistan","Zaranj",30.969167,61.866944
"Albania","Tirana",41.414742,19.720561
"Algeria","",33.5114,6.77679
"Algeria","Adrar",27.837589,-0.186414
"Algeria","Ain Oussera",35.525414,2.878714
"Algeria","Algier",36.691014,3.215408
"Algeria","Annaba",36.822225,7.809167
"Algeria","Batna",35.752106,6.308589
"Algeria","Béchar",31.6457,-2.26986
"Algeria","Bejaja",36.711997,5.069922
"Algeria","Biskra",34.793289,5.738231
"Algeria","Blida",36.503613,2.814167
"Algeria","Bordj Badji Mokhtar",21.375,0.923889
"Algeria","Bou Saada",35.3325,4.206389
"Algeria","Bou Sfer",35.735389,-0.805389
"Algeria","Boufarik",36.545834,2.876111
"Algeria","Constantine",36.276028,6.620386
"Algeria","Djanet",24.292767,9.452444
"Algeria","Djelfa",34.6657,3.351
"Algeria","Ech-cheliff",36.212658,1.331775
"Algeria","El Golea",30.571294,2.859586
"Algeria","Ghardaia",32.384106,3.794114
"Algeria","Ghriss",35.207725,0.147142
"Algeria","Hassi-messaoud",31.672972,6.140444
"Algeria","Illizi",26.723536,8.622653
"Algeria","In Salah",27.251022,2.512017
"Algeria","Jijel",36.795136,5.873608
"Algeria","Laghouat",33.764383,2.928344
"Algeria","Mecheria",33.535853,-0.242353
"Algeria","Oran",35.583151,-0.5767305
"Algeria","Ouargla",31.917223,5.412778
"Algeria","Reggan",26.710103,0.285647
"Algeria","Relizane",35.752239,0.626272
"Algeria","Setif",36.1781,5.32449
"Algeria","Sidi Bel Abbes",35.171775,-0.593275
"Algeria","Tamanrasset",22.811461,5.451075
"Algeria","Tebessa",35.431611,8.120717
"Algeria","Tiaret",35.341136,1.463147
"Algeria","Tilrempt",32.930431,3.311542
"Algeria","Timimoun",29.237119,0.276033
"Algeria","Tindouf",27.700372,-8.167103
"Algeria","Tlemcen",35.016667,-1.45
"Algeria","Touggourt",33.067803,6.088672
"Algeria","Zarzaitine",28.05155,9.642911
"American Samoa","Fiti\\'uta",-14.216111,-169.423611
"American Samoa","Ofu",-14.184444,-169.67
"American Samoa","Pago Pago",-14.331,-170.7105
"Angola","",-7.40089,20.8185
"Angola","Benguela",-12.609025,13.403711
"Angola","Cabinda",-5.596992,12.188353
"Angola","Catoca",-9.433017,20.311189
"Angola","Catumbela",-12.4792,13.4869
"Angola","Huambo",-12.808878,15.760547
"Angola","Kapanda",-9.771944,15.456111
"Angola","Kuito",-12.404633,16.947414
"Angola","Lobito",-12.371233,13.536625
"Angola","Luanda",-8.858375,13.231178
"Angola","Lubango",-14.924733,13.575022
"Angola","Lucapa",-8.443056,20.732222
"Angola","Luena",-11.768086,19.897672
"Angola","M'banza-congo",-6.269897,14.247025
"Angola","Malanje",-9.525086,16.312406
"Angola","Menongue",-14.657583,17.719833
"Angola","Mocamedes",-15.261222,12.146756
"Angola","Negage",-7.754506,15.287728
"Angola","Nzagi",-7.716944,21.358056
"Angola","Ondjiva",-17.043464,15.683822
"Angola","Porto Amboim",-10.721956,13.765528
"Angola","Saurimo",-9.689067,20.431875
"Angola","Soyo",-6.141086,12.371764
"Angola","Uige",-7.603067,15.027822
"Angola","Xangongo",-16.755417,14.965344
"Anguilla","The Valley",18.204834,-63.055084
"Antarctica","Budd Coast",-66.689444,111.485833
"Antarctica","Isla Rey Jorge",-62.190833,-58.986667
"Antarctica","Marambio Base",-64.238335,-56.630833
"Antarctica","Ross Island",-77.8477778,166.6683333
"Antarctica","South Shetland",-65.685,-60.415
"Antarctica","Stephen's Island",-89.999997,0
"Antarctica","Weydon",-77.867358,167.056572
"Antigua and Barbuda","Antigua",17.136749,-61.792667
"Antigua and Barbuda","Codrington",17.6358,-61.8286
"Argentina","Alto Rio Senguer",-45.016667,-70.816667
"Argentina","Bahia Blanca",-38.724967,-62.169317
"Argentina","Bolivar",-36.186594,-61.076367
"Argentina","Buenos Aires",-34.65973233333333,-58.43976
"Argentina","Caleta Olivia",-46.4333,-67.5333
"Argentina","Catamarca",-28.593214,-65.750925
"Argentina","Chilecito",-29.223888,-67.438889
"Argentina","Chosmadal",-37.444692,-70.222469
"Argentina","Colonel Suarez",-37.446111,-61.889297
"Argentina","Colonia Sarmiento",-45.6,-69.083333
"Argentina","Comodoro Rivadavia",-45.785347,-67.465508
"Argentina","Concordia",-31.296944,-57.996631
